Station Code,Water Quality,Locations,State/ UT Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N (mg/l)-Minimum,NITRATE- N (mg/l)-Maximum,NITRATE- N (mg/l)-Mean,NITRITE-N (mg/l)-Minimum,NITRITE-N (mg/l)-Maximum,NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean
1620,GROUND WATER QUALITY OF CHATTISSGARH,AT RAIPUR REGION- CHHATISSGARH,Chhattisgarh,23,28,26,NA,NA,NA,7.2,7.9,7.5,390,1243,891,0.4,0.8,0.7,2.6,33,17.8,0.1,2,1.45,NA,NA,NA,5,5,5
1621,GROUND WATER QUALITY OF CHATTISSGARH,AT RAIPUR REGION-CHHATISSGARH,Chhattisgarh,20,32,27,NA,NA,NA,7.4,8.1,7.9,298,3560,2336,0.9,3.6,2.3,0.3,20,10.2,0.6,3,1.85,NA,NA,NA,4,50,22
1622,GROUND WATER QUALITY OF CHATTISSGARH,AT BILASPUR REGION,Chhattisgarh,27,30,29,NA,NA,NA,7.9,8.3,8.1,1835,1976,1906,0.1,0.1,0.1,50,50,50,2.5,3.5,3,NA,NA,NA,NA,NA,NA
1623,GROUND WATER QUALITY OF CHATTISSGARH,AT BILASPUR REGION,Chhattisgarh,28,30,29,NA,NA,NA,7.7,8.4,8.1,1872,2215,2044,0.1,0.1,0.1,50,50,50,2.1,3,2.55,NA,NA,NA,NA,NA,NA
1616,GROUND WATER QUALITY OF Madhya Pradesh,OPEN WELL/TUBE WELL INDUSTRIAL AREA- GOVINDPURA- BHOPAL,Madhya Pradesh,28,28,28,NA,NA,NA,7.5,7.5,7.5,450,450,450,2.1,2.1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,16
1617,GROUND WATER QUALITY OF Madhya Pradesh,OPEN WELL/TUBE WELL INDL AREAMANDIDEEP- RAISEN,Madhya Pradesh,27,27,27,NA,NA,NA,7.2,7.2,7.2,380,380,380,1.5,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,17
1618,GROUND WATER QUALITY OF Madhya Pradesh,GW SAMPLING AT TWO POINTS IN INDUSTRIAL AREA MALANPUR- M.P,Madhya Pradesh,18,18,18,NA,NA,NA,6.9,7.4,7.2,620,1310,965,2.2,2.2,2.2,0.3,1.4,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
1619,GROUND WATER QUALITY OF Madhya Pradesh,GROUND WATER SAMPLING AT TWOPOINTS IN INDL AREA MALANPUR,Madhya Pradesh,22,38,30,NA,NA,NA,7.4,7.6,7.5,1328,1650,1489,1,1,1,0.8,0.9,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,GROUND WATER QUALITY OF Madhya Pradesh,TUBE WELL AT JAINABAD- NEAR TAPTI RIVER BRIDGE- PUMPING STN-BURHANPUR,Madhya Pradesh,27,30,28,NA,NA,NA,7,8,7.5,898,1071,972,0.6,1,0.8,0.1,30,15.7,0.1,0.1,0.1,NA,NA,NA,2,10,7
2143,GROUND WATER QUALITY OF Madhya Pradesh,KATHODA- JABALPUR,Madhya Pradesh,24,24,24,NA,NA,NA,7.8,7.8,7.8,924,924,924,1.1,1.1,1.1,5.3,5.3,5.3,NA,NA,NA,NA,NA,NA,11,11,11
2144,GROUND WATER QUALITY OF Madhya Pradesh,MADAI GRAM- JABALPUR,Madhya Pradesh,24,24,24,NA,NA,NA,7.7,7.7,7.7,1024,1024,1024,1,1,1,8.2,8.2,8.2,NA,NA,NA,NA,NA,NA,11,11,11
2150,GROUND WATER QUALITY OF Madhya Pradesh,TRENCHING GROUND- NEAR GARDEN- DEV GURADIYA ROAD- INDORE,Madhya Pradesh,26,30,28,NA,NA,NA,7,8,7.6,986,2084,1370,0.4,1.6,0.9,0.1,27.1,6.5,0.1,2.2,0.97,NA,NA,NA,4,8,5
2151,GROUND WATER QUALITY OF Madhya Pradesh,TRENCHING GROUND IN THE PREMISES OF M/S RISHABH MASALA UDYOG- INDORE,Madhya Pradesh,26,30,28,NA,NA,NA,7,8,7.6,82,3746,2295,1,2.8,1.4,0.1,4.9,2.9,0.1,2.4,0.87,NA,NA,NA,3,60,12
2152,GROUND WATER QUALITY OF Madhya Pradesh,TRENCHING GROUND IN THE PREMISES OF M/S LAKHANI FOOT WEAR- INDORE,Madhya Pradesh,26,30,28,NA,NA,NA,6.9,7.8,7.2,730,4772,2491,0.8,1.2,1,0.1,40,6.6,40,40,40,NA,NA,NA,2,9,5
1555,GROUND WATER QUALITY OF Himachal Pradesh,AT KALA AMB- H.P,Himachal Pradesh,26,27,27,NA,NA,NA,7.4,8.3,7.9,682,1750,1216,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,11,11,11
1556,GROUND WATER QUALITY OF Himachal Pradesh,AT PAONTA SAHIB- H.P,Himachal Pradesh,23,25,24,NA,NA,NA,7.1,7.5,7.3,180,632,406,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,10,10,10
1557,GROUND WATER QUALITY OF Himachal Pradesh,AT PARWANOO- H.P,Himachal Pradesh,22,24,23,NA,NA,NA,7.4,8.4,7.9,480,789,635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1558,GROUND WATER QUALITY OF Himachal Pradesh,AT BADDI- H.P,Himachal Pradesh,26,27,26,NA,NA,NA,7.6,8.2,7.9,407,1620,1014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1559,GROUND WATER QUALITY OF Himachal Pradesh,AT BAROTIWALA- H.P,Himachal Pradesh,26,27,26,NA,NA,NA,7.3,8.8,8.1,414,532,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1560,GROUND WATER QUALITY OF Himachal Pradesh,AT NALAGARH- H.P,Himachal Pradesh,26,27,26,NA,NA,NA,7.8,9.1,8.5,1196,1620,1408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1561,GROUND WATER QUALITY OF Himachal Pradesh,AT DAMTAL- H.P,Himachal Pradesh,24,24,24,NA,NA,NA,6.7,6.7,6.7,950,950,950,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,9,9,9,110,110,110
1562,GROUND WATER QUALITY OF Himachal Pradesh,AT UNA- H.P,Himachal Pradesh,27,30,29,NA,NA,NA,7,7.3,7.2,937,1290,1114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1872,GROUND WATER QUALITY OF Himachal Pradesh,SHIMLA DOWNSTREAM OF MSW DUMPING SITE,Himachal Pradesh,12,15,13,NA,NA,NA,7,8.5,7.8,404,609,507,8,11.2,9.6,NA,NA,NA,NA,NA,NA,90,90,90,350,350,350
1873,GROUND WATER QUALITY OF Himachal Pradesh,DHARAMSHALA KANGRA DOWNSTREAM OF MSWDUMPING SITE,Himachal Pradesh,16,20,18,NA,NA,NA,5.8,6,5.9,240,262,251,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,4,6,5,94,420,257
1875,GROUND WATER QUALITY OF Himachal Pradesh,MANDI-DOWNSTREAM OF MSW DUMPING SITE,Himachal Pradesh,13,19,16,NA,NA,NA,7.8,7.8,7.8,266,319,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1876,GROUND WATER QUALITY OF Himachal Pradesh,PARWANOO INDUSTRIAL AREA,Himachal Pradesh,20,21,21,NA,NA,NA,7.4,8.1,7.8,472,635,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1877,GROUND WATER QUALITY OF Himachal Pradesh,BADDI INDUSTRIAL AREA,Himachal Pradesh,25,25,25,NA,NA,NA,7.3,7.3,7.3,507,507,507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1878,GROUND WATER QUALITY OF Himachal Pradesh,BAROTIWALA INDUSTRIAL AREA,Himachal Pradesh,26,27,26,NA,NA,NA,7.2,7.6,7.4,318,625,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1879,GROUND WATER QUALITY OF Himachal Pradesh,NALAGARH INDUSTRIAL AREA,Himachal Pradesh,26,28,27,NA,NA,NA,7.1,7.5,7.3,1277,1670,1474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1880,GROUND WATER QUALITY OF Himachal Pradesh,KALA AMB INDUSTRIAL AREA,Himachal Pradesh,25,27,26,NA,NA,NA,7.3,7.5,7.4,520,674,597,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,10,10,10
1881,GROUND WATER QUALITY OF Himachal Pradesh,PAONTA SAHIB INDUSTRIAL AREA,Himachal Pradesh,23,25,24,NA,NA,NA,7.1,7.2,7.2,548,735,642,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,12,12,12
1882,GROUND WATER QUALITY OF Himachal Pradesh,MEHATPUR INDUSTRIAL AREA,Himachal Pradesh,26,26,26,NA,NA,NA,7.8,7.9,7.9,611,828,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1883,GROUND WATER QUALITY OF Himachal Pradesh,UNA INDUSTRIAL AREA,Himachal Pradesh,26,26,26,NA,NA,NA,7.6,8.2,7.9,504,776,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2039,GROUND WATER QUALITY OF Chandigarh,SECTOR 15,Chandigarh,24,25,25,NA,NA,NA,6.9,7.6,7.3,844,1011,928,0.1,0.1,0.1,7.8,8.2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2040,GROUND WATER QUALITY OF Chandigarh,SECTOR  22,Chandigarh,24,25,25,NA,NA,NA,6.9,7.4,7.2,871,973,922,0.6,0.7,0.7,7,9.1,8.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2042,GROUND WATER QUALITY OF Chandigarh,SECTOR 47,Chandigarh,24,24,24,NA,NA,NA,7.3,7.9,7.6,630,752,691,0.1,0.4,0.3,6.3,7.8,7.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
2043,GROUND WATER QUALITY OF Chandigarh,PALSORA VILLAGE,Chandigarh,24,25,25,NA,NA,NA,6.9,7.5,7.2,833,940,887,0.2,0.3,0.3,6.4,7.3,6.85,NA,NA,NA,NA,NA,NA,NA,NA,NA
2044,GROUND WATER QUALITY OF Chandigarh,DHANAS VILLAGE,Chandigarh,24,25,24,NA,NA,NA,6.9,7.2,7.1,966,1104,1058,0.4,0.4,0.4,8.9,9.3,9.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2045,GROUND WATER QUALITY OF Chandigarh,DADU MAJRA,Chandigarh,24,25,25,NA,NA,NA,7,7.4,7.2,1037,1056,1047,0.1,0.2,0.2,5.3,9.5,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,GROUND WATER QUALITY OF Punjab,PETROL PUMP OPP. HERO CYCLE-LUDHIANA,Punjab,28,28,28,NA,NA,NA,7.1,7.2,7.2,1140,1460,1300,NA,NA,NA,1.6,1.8,1.7,0.8,0.8,0.8,NA,NA,NA,NA,NA,NA
19,GROUND WATER QUALITY OF Kerala,WELL AT ELOOR- Kerala,Kerala,27,29,28,NA,NA,NA,5.3,7.1,6,130,294,206,0.3,2,0.8,1.5,12.6,5.5,0.1,2.8,0.87,0,560,131,10,1320,432
22,GROUND WATER QUALITY OF Kerala,WELL AT CHUNGAPALLY- Kerala,Kerala,27,28,28,NA,NA,NA,5.7,5.7,5.7,110,126,118,0.4,0.8,0.6,0.6,4,2.3,1.8,1.8,1.8,NA,NA,NA,20,60,40
35,GROUND WATER QUALITY OF Kerala,WELL AT PUNALUR- Kerala,Kerala,28,29,28,NA,NA,NA,6.7,7.5,7.1,305,329,317,0.7,0.9,0.8,8.5,16,12.3,10.6,10.6,10.6,0,480,240,620,740,680
1581,GROUND WATER QUALITY OF Kerala,PAPPANAMKODE-THIRUVANANTHAPURAM,Kerala,26,26,26,NA,NA,NA,5.6,5.8,5.7,190,340,265,0.3,0.6,0.45,1.6,8,4.8,0.2,0.2,0.2,NA,NA,NA,0,180,90
1582,GROUND WATER QUALITY OF Kerala,NEDUMANGAD-THIRUVANANTHAPURAM,Kerala,26,26,26,NA,NA,NA,6.1,6.4,6.3,420,560,490,0.4,0.5,0.45,1.7,8,4.9,0.4,0.4,0.4,NA,NA,NA,0,50,25
1583,GROUND WATER QUALITY OF Kerala,NEDUMANGAD-THIRUVANANTHAPURAM,Kerala,27,29,28,NA,NA,NA,4.4,4.9,4.7,171,210,191,0.6,0.8,0.7,8.5,16,12.3,6.3,6.3,6.3,0,100,50,60,160,110
1584,GROUND WATER QUALITY OF Kerala,CHERTHALA-ALLEPPY- Kerala,Kerala,28,29,29,NA,NA,NA,7.4,7.5,7.5,170,180,175,0.2,1.2,0.7,0.1,3.8,2,0.1,0.1,0.1,0,250,125,80,750,415
1585,GROUND WATER QUALITY OF Kerala,VYTTILA-ERNAKULAM,Kerala,28,29,28,NA,NA,NA,7.8,8,7.9,383,430,407,0.5,0.5,0.5,0.5,3.2,1.9,3.6,3.6,3.6,NA,NA,NA,100,140,120
1586,GROUND WATER QUALITY OF Kerala,EDAYAR ERNAKULAM DISTT.,Kerala,28,28,28,NA,NA,NA,5.6,6.7,6.2,155,183,169,0.5,0.6,0.6,3,3.2,3.1,3.1,3.1,3.1,0,50,25,0,270,135
1587,GROUND WATER QUALITY OF Kerala,KALAMASSERY ERNAKULAM,Kerala,28,28,28,NA,NA,NA,4.9,5.4,5.2,139,162,151,0.3,0.5,0.4,1.6,9,5.3,6,6,6,0,10,5,0,140,70
1588,GROUND WATER QUALITY OF Kerala,PUNKUNNAM TRISSUR DISTT.,Kerala,26,28,27,NA,NA,NA,5.7,6.9,6.3,106,128,117,0.5,2,1.3,1.6,3.2,2.4,3.9,3.9,3.9,0,120,60,40,380,210
1589,GROUND WATER QUALITY OF Kerala,MALAPURAM - Kerala,Kerala,26,28,27,NA,NA,NA,5.7,6,5.9,280,370,325,1,1.6,1.3,1.7,4.8,3.3,3.4,3.4,3.4,0,800,400,40,1233,637
1590,GROUND WATER QUALITY OF Kerala,MAVOOR- KOZHIKKODE DISTT.- Kerala,Kerala,26,29,28,NA,NA,NA,5.8,6.6,6.2,109,153,131,0.2,0.6,0.4,1.2,7.2,4.2,3.2,3.2,3.2,0,60,30,40,190,115
1591,GROUND WATER QUALITY OF Kerala,KANNUR (MUNICIPALITY) KANNUR,Kerala,30,30,30,NA,NA,NA,4.4,4.7,4.6,83,104,94,0.6,1.2,0.9,4.6,12,8.3,3.1,3.1,3.1,0,100,50,80,400,240
1592,GROUND WATER QUALITY OF Kerala,PAYYANNUR- KANNUR DISTT.,Kerala,29,29,29,NA,NA,NA,5.6,5.7,5.7,140,178,159,0.1,1.6,0.9,4,8,6,2.8,2.8,2.8,0,480,240,440,850,645
2308,GROUND WATER QUALITY OF Kerala,FATHIMAPURAM (CHANGANASSERY),Kerala,28,28,28,NA,NA,NA,5.7,5.7,5.7,197,197,197,0.4,0.4,0.4,2.9,2.9,2.9,NA,NA,NA,11,11,11,24,24,24
2309,GROUND WATER QUALITY OF Kerala,KAROOR (PALA),Kerala,27,27,27,NA,NA,NA,5.8,5.8,5.8,82,82,82,0.5,0.5,0.5,4.7,4.7,4.7,NA,NA,NA,110,110,110,170,170,170
2310,GROUND WATER QUALITY OF Kerala,VAIKOM,Kerala,28,28,28,NA,NA,NA,6,6,6,95,95,95,0.9,0.9,0.9,4.2,4.2,4.2,NA,NA,NA,8,8,8,17,17,17
2311,GROUND WATER QUALITY OF Kerala,VADAVATHOOR (KOTTAYAM),Kerala,28,28,28,NA,NA,NA,4.8,4.8,4.8,159,159,159,0.7,0.7,0.7,0.1,0.1,0.1,NA,NA,NA,14,14,14,22,22,22
2313,GROUND WATER QUALITY OF Kerala,SARVODAPURAM- ALAPPUZHA,Kerala,28,28,28,NA,NA,NA,7.3,7.3,7.3,183,183,183,0.5,0.5,0.5,0.1,0.1,0.1,NA,NA,NA,300,300,300,600,600,600
2314,GROUND WATER QUALITY OF Kerala,KUREEPUZHA (KOLLAM),Kerala,27,27,27,NA,NA,NA,7.3,7.3,7.3,306,306,306,0.7,0.7,0.7,7.5,7.5,7.5,NA,NA,NA,200,200,200,300,300,300
2315,GROUND WATER QUALITY OF Kerala,K.M.M.L.(KOLLAM),Kerala,28,28,28,NA,NA,NA,7.6,7.6,7.6,464,464,464,0.6,0.6,0.6,9.6,9.6,9.6,NA,NA,NA,60,60,60,100,100,100
2316,GROUND WATER QUALITY OF Kerala,CHELLORA TRENCHING GROUND(KANNUR),Kerala,28,28,28,NA,NA,NA,4.1,4.1,4.1,52,52,52,0.9,0.9,0.9,2.5,2.5,2.5,NA,NA,NA,0,0,0,50,50,50
2317,GROUND WATER QUALITY OF Kerala,PUNNALPETTIPPALAM (TELLICHERRYMUNICIPALITY),Kerala,28,28,28,NA,NA,NA,6.5,6.5,6.5,373,373,373,1.5,1.5,1.5,2.5,2.5,2.5,NA,NA,NA,140,140,140,1300,1300,1300
2320,GROUND WATER QUALITY OF Kerala,MANJERI,Kerala,26,26,26,NA,NA,NA,5.6,5.6,5.6,164,164,164,0.6,0.6,0.6,1.7,1.7,1.7,NA,NA,NA,333,333,333,866,866,866
2321,GROUND WATER QUALITY OF Kerala,LALOOR (THRISSUR),Kerala,28,28,28,NA,NA,NA,5.8,5.8,5.8,530,530,530,1,1,1,8.5,8.5,8.5,NA,NA,NA,120,120,120,370,370,370
2322,GROUND WATER QUALITY OF Kerala,OLLUR (THRISSUR),Kerala,25,25,25,NA,NA,NA,4.8,4.8,4.8,240,240,240,0.9,0.9,0.9,6.1,6.1,6.1,NA,NA,NA,580,580,580,1240,1240,1240
2323,GROUND WATER QUALITY OF Kerala,BRAHMAPURAM M.S.W.DUMPARK (ERNAKULAM),Kerala,27,27,27,NA,NA,NA,6,6,6,200,200,200,0.2,0.2,0.2,1,1,1,NA,NA,NA,240,240,240,650,650,650
2324,GROUND WATER QUALITY OF Kerala,HAZARDOUS WASTE DUMP(AMBALAMUGHAL),Kerala,28,28,28,NA,NA,NA,7.2,7.2,7.2,270,270,270,1.5,1.5,1.5,0.1,0.1,0.1,NA,NA,NA,0,0,0,0,0,0
2327,GROUND WATER QUALITY OF Kerala,KARUKAMANI,Kerala,27,27,27,NA,NA,NA,7.2,7.2,7.2,952,952,952,0.7,0.7,0.7,1.4,1.4,1.4,NA,NA,NA,12,12,12,300,300,300
32,GROUND WATER QUALITY OF TAMILNADU,WELL AT MUSIRI- Tamil Nadu,Tamil Nadu,30,31,30,NA,NA,NA,6.9,7.3,7.1,1800,1919,1850,0.2,0.6,0.3,0.3,1.5,0.83,0.1,0.1,0.1,78,270,166,140,400,260
1449,GROUND WATER QUALITY OF TAMILNADU,COLLECTOR WELL AT THIRUPUVANAM FOR MADURAI WAT. SUPPLY SCHEME,Tamil Nadu,30,30,30,NA,NA,NA,7.3,7.3,7.3,780,780,780,1.9,1.9,1.9,0.1,0.1,0.1,0.1,0.1,0.1,2,2,2,7,7,7
1397,GROUND WATER QUALITY OF Puducherry,WELL AT MUTHIALPET AREA(I),Puducherry,27,27,27,NA,NA,NA,6.9,6.9,6.9,1958,1958,1958,NA,NA,NA,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1398,GROUND WATER QUALITY OF Puducherry,WELL AT THENGAITHITTU AREA-(II),Puducherry,28,32,30,NA,NA,NA,6.8,7.4,7.1,1087,1100,1094,NA,NA,NA,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1453,GROUND WATER QUALITY OF Puducherry,WELL AT MUTHARAPLATYAM (PWD),Puducherry,29,30,30,NA,NA,NA,6.5,6.9,6.7,496,602,549,NA,NA,NA,2.7,2.7,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1454,GROUND WATER QUALITY OF Puducherry,WELL AT KALAPET-PONDI.UNIVER.ADMN.BLOCK,Puducherry,28,30,29,NA,NA,NA,6.2,6.7,6.5,159,185,172,NA,NA,NA,0.7,0.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
1687,GROUND WATER QUALITY OF Puducherry,NEHRU STATUE- Puducherry,Puducherry,30,30,30,NA,NA,NA,7.1,7.1,7.1,2240,2240,2240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1688,GROUND WATER QUALITY OF Puducherry,KATTERIKUPPAM- PODICHERRY,Puducherry,30,34,32,NA,NA,NA,7.1,7.3,7.2,628,712,670,NA,NA,NA,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1689,GROUND WATER QUALITY OF Puducherry,CHUNMBAR RIVER- Puducherry,Puducherry,29,32,30,NA,NA,NA,8.1,9,8.6,521,860,700,3,5,4.3,0.1,12.9,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,GROUND WATER QUALITY OF Puducherry,KURUMBAPET,Puducherry,28,30,29,NA,NA,NA,6.2,6.9,6.6,382,383,383,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,GROUND WATER QUALITY OF Puducherry,METTUPALAYAM,Puducherry,30,30,30,NA,NA,NA,6.3,6.6,6.5,460,506,483,NA,NA,NA,3.9,3.9,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,GROUND WATER QUALITY OF Puducherry,URUVAIYAR,Puducherry,32,35,33,NA,NA,NA,6.8,7.6,7.2,1380,1385,1383,NA,NA,NA,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,GROUND WATER QUALITY OF Puducherry,KARUVADIKUPPAM,Puducherry,37,37,37,NA,NA,NA,6.9,6.9,6.9,251,251,251,NA,NA,NA,2.8,2.8,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,GROUND WATER QUALITY OF Puducherry,T.R.PATTINAM- KARAIKAL,Puducherry,28,30,29,NA,NA,NA,8.3,8.3,8.3,1636,1838,1737,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,GROUND WATER QUALITY OF Puducherry,VADAMATTAM- KARAIKAL,Puducherry,26,31,28,NA,NA,NA,7.9,8.1,8,1461,1603,1532,NA,NA,NA,0.1,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,GROUND WATER QUALITY OF Maharashtra,INDL.ESTATE TARAPUR,Maharashtra,30,30,30,NA,NA,NA,8.5,8.5,8.5,457,457,457,3,3,3,0.1,0.1,0.1,NA,NA,NA,25,25,25,225,225,225
1985,GROUND WATER QUALITY OF Maharashtra,MIRA-BHAYANDER,Maharashtra,30,30,30,NA,NA,NA,8.5,8.5,8.5,7234,7234,7234,7,7,7,2.6,2.6,2.6,NA,NA,NA,70,70,70,550,550,550
1986,GROUND WATER QUALITY OF Maharashtra,DAHANU,Maharashtra,27,27,27,NA,NA,NA,7.5,7.5,7.5,1086,1086,1086,3.4,3.4,3.4,0.1,0.1,0.1,NA,NA,NA,13,13,13,170,170,170
1987,GROUND WATER QUALITY OF Maharashtra,VASAI,Maharashtra,28,28,28,NA,NA,NA,8.1,8.1,8.1,1019,1019,1019,6,6,6,0.7,0.7,0.7,NA,NA,NA,25,25,25,350,350,350
1988,GROUND WATER QUALITY OF Maharashtra,PALGHAR,Maharashtra,27,28,28,NA,NA,NA,7.6,7.7,7.7,1700,4966,3333,2,4,3,3.7,8.4,6.05,NA,NA,NA,2,30,16,5,350,178
1990,GROUND WATER QUALITY OF Maharashtra,BMW SITE- BURUDGAON- AHMEDNAGAR,Maharashtra,29,29,29,NA,NA,NA,7.3,7.3,7.3,1874,1874,1874,9,9,9,5.1,5.1,5.1,NA,NA,NA,26,26,26,58,58,58
1991,GROUND WATER QUALITY OF Maharashtra,MSW SITE- PATHARDI- NASIK,Maharashtra,25,25,25,NA,NA,NA,7.1,7.2,7.2,396,396,396,4.1,4.1,4.1,1.8,8,4.9,1.8,1.8,1.8,0.1,14,7.05,14,35,24.5
1992,GROUND WATER QUALITY OF Maharashtra,MSW SITE- PIMPRI-CHINCHWAD- PUNE,Maharashtra,32,33,33,NA,NA,NA,8,8,8,975,1345,1160,5.8,7.6,6.7,0.1,0.1,0.1,NA,NA,NA,25,225,125,225,900,563
1993,GROUND WATER QUALITY OF Maharashtra,PHANDARPUR- GANGAPUR-AURANGABAD,Maharashtra,31,31,31,NA,NA,NA,7.8,7.8,7.8,1667,1667,1667,5.8,5.8,5.8,4.6,4.6,4.6,NA,NA,NA,9,9,9,350,350,350
1995,GROUND WATER QUALITY OF Maharashtra,KHAPERKHEDA- NAGPUR,Maharashtra,21,21,21,NA,NA,NA,7.7,7.7,7.7,1045,1045,1045,11,11,11,5.3,5.3,5.3,NA,NA,NA,11,11,11,27,27,27
1996,GROUND WATER QUALITY OF Maharashtra,KORADI- NAGPUR,Maharashtra,22,22,22,NA,NA,NA,7.7,7.7,7.7,1467,1467,1467,13,13,13,12,12,12,NA,NA,NA,4,4,4,21,21,21
1997,GROUND WATER QUALITY OF Maharashtra,RAIPUR- NAGPUR,Maharashtra,30,30,30,NA,NA,NA,8,8,8,2650,2650,2650,6,6,6,0.8,0.8,0.8,NA,NA,NA,33,33,33,170,170,170
1998,GROUND WATER QUALITY OF Maharashtra,BHAHMNI- KALMESHWAR- NAGPUR,Maharashtra,22,22,22,NA,NA,NA,7.6,7.6,7.6,1300,1300,1300,11,10.7,10.7,5,5,5,NA,NA,NA,11,11,11,27,27,27
1999,GROUND WATER QUALITY OF Maharashtra,SANGERA GONDIA,Maharashtra,24,24,24,NA,NA,NA,6.1,6.1,6.1,8687,8687,8687,1.6,1.6,1.6,5,5,5,NA,NA,NA,2,2,2,6,6,6
2000,GROUND WATER QUALITY OF Maharashtra,BHANDEWARI- NAGPUR,Maharashtra,21,21,21,NA,NA,NA,8,8,8,1526,1526,1526,6,6,6,10.2,10.2,10.2,NA,NA,NA,22,22,22,70,70,70
2001,GROUND WATER QUALITY OF Maharashtra,SUKALI- AMRAVATI,Maharashtra,32,32,32,NA,NA,NA,7.8,7.8,7.8,704,704,704,7,7,7,13.1,13.1,13.1,NA,NA,NA,2,2,2,4,4,4
2002,GROUND WATER QUALITY OF Maharashtra,AKOT- AKOLA,Maharashtra,32,32,32,NA,NA,NA,8.3,8.3,8.3,621,621,621,8,8,8,3.3,3.3,3.3,NA,NA,NA,110,110,110,280,280,280
2003,GROUND WATER QUALITY OF Maharashtra,SAWARGAON- YAVATMAL,Maharashtra,23,23,23,NA,NA,NA,7.8,7.8,7.8,761,761,761,6,6,6,0.7,0.7,0.7,NA,NA,NA,2,2,2,4,4,4
